<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200625,000000,0.1432030,0.1432030,0.1432030,0.1432030,0
20200626,000000,0.1441200,0.1441200,0.1441200,0.1441200,0
20200627,000000,0.1435090,0.1435090,0.1435090,0.1435090,0
20200630,000000,0.1451270,0.1451270,0.1451270,0.1451270,0
20200701,000000,0.1462040,0.1462040,0.1462040,0.1462040,0
20200702,000000,0.1460380,0.1460380,0.1460380,0.1460380,0
20200703,000000,0.1462160,0.1462160,0.1462160,0.1462160,0
20200704,000000,0.1456910,0.1456910,0.1456910,0.1456910,0
20200707,000000,0.1469730,0.1469730,0.1469730,0.1469730,0
20200708,000000,0.1490140,0.1490140,0.1490140,0.1490140,0
20200709,000000,0.1463990,0.1463990,0.1463990,0.1463990,0
20200710,000000,0.1461140,0.1461140,0.1461140,0.1461140,0
20200711,000000,0.1463830,0.1463830,0.1463830,0.1463830,0
20200714,000000,0.1453030,0.1453030,0.1453030,0.1453030,0
20200715,000000,0.1462020,0.1462020,0.1462020,0.1462020,0
20200716,000000,0.1452300,0.1452300,0.1452300,0.1452300,0
20200717,000000,0.1469590,0.1469590,0.1469590,0.1469590,0
20200718,000000,0.1483220,0.1483220,0.1483220,0.1483220,0
20200721,000000,0.1486220,0.1486220,0.1486220,0.1486220,0
20200722,000000,0.1466260,0.1466260,0.1466260,0.1466260,0
20200723,000000,0.1460150,0.1460150,0.1460150,0.1460150,0
20200724,000000,0.1461650,0.1461650,0.1461650,0.1461650,0
20200725,000000,0.1473800,0.1473800,0.1473800,0.1473800,0
20200728,000000,0.1470820,0.1470820,0.1470820,0.1470820,0
20200729,000000,0.1477400,0.1477400,0.1477400,0.1477400,0
20200730,000000,0.1488760,0.1488760,0.1488760,0.1488760,0
20200731,000000,0.1514520,0.1514520,0.1514520,0.1514520,0
20200801,000000,0.1509580,0.1509580,0.1509580,0.1509580,0
20200804,000000,0.1528100,0.1528100,0.1528100,0.1528100,0
20200805,000000,0.1511440,0.1511440,0.1511440,0.1511440,0
20200806,000000,0.1508450,0.1508450,0.1508450,0.1508450,0
20200807,000000,0.1502570,0.1502570,0.1502570,0.1502570,0
20200808,000000,0.1515490,0.1515490,0.1515490,0.1515490,0
20200811,000000,0.1520190,0.1520190,0.1520190,0.1520190,0
20200812,000000,0.1507360,0.1507360,0.1507360,0.1507360,0
20200813,000000,0.1509380,0.1509380,0.1509380,0.1509380,0
20200814,000000,0.1514540,0.1514540,0.1514540,0.1514540,0
20200815,000000,0.1507740,0.1507740,0.1507740,0.1507740,0
