<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20191024,000000,116.3500000,117.1500000,115.0000000,115.8500000,879364
20191025,000000,115.1500000,116.1000000,114.4000000,114.7000000,778572
20191028,000000,115.0000000,116.2000000,114.5500000,115.1000000,806740
20191029,000000,115.1000000,116.2000000,114.5000000,115.4500000,759503
20191030,000000,115.1500000,115.9500000,111.0000000,113.9500000,1450250
20191031,000000,115.0000000,115.4500000,113.2500000,113.6500000,946490
20191101,000000,114.4500000,115.4000000,113.8000000,114.9500000,636731
20191104,000000,117.9500000,119.7500000,116.6500000,118.9000000,1661820
20191105,000000,120.2500000,122.3000000,119.0500000,122.3000000,2008692
20191106,000000,123.1000000,123.4000000,119.5500000,121.0500000,1561984
20191107,000000,120.2000000,121.2000000,119.1000000,120.5000000,1045987
20191108,000000,119.8000000,120.3500000,115.8000000,115.9500000,1871639
20191111,000000,116.9500000,120.6500000,116.0500000,119.6000000,1414632
20191112,000000,120.9000000,122.0500000,119.5000000,121.6000000,1016639
20191113,000000,120.5000000,122.0500000,120.3000000,120.8000000,773877
20191114,000000,121.5000000,122.5000000,120.7500000,121.9000000,767920
20191115,000000,122.4000000,122.9000000,121.5500000,122.1500000,932186
20191118,000000,122.5000000,122.5000000,119.5500000,121.0000000,787292
20191119,000000,121.3500000,122.1500000,120.6500000,121.7000000,601373
20191120,000000,114.0000000,118.3500000,112.0500000,117.1000000,2872844
20191121,000000,116.5500000,119.1000000,114.2000000,117.1500000,1666525
20191122,000000,117.5500000,117.9500000,115.9000000,117.0500000,895243
20191125,000000,117.9000000,119.2500000,117.2000000,118.8500000,618908
20191126,000000,119.2500000,119.7500000,118.5000000,119.2500000,668874
20191127,000000,119.4000000,119.8000000,118.5000000,119.5000000,526251
20191128,000000,119.1500000,119.6000000,118.1500000,118.4000000,423065
20191129,000000,118.0500000,119.7000000,117.1500000,119.6000000,791823
20191202,000000,120.0000000,121.4000000,116.1500000,116.8500000,1280207
20191203,000000,117.5000000,118.7500000,117.3000000,118.2000000,785513
20191204,000000,118.5000000,119.2000000,117.1500000,117.8000000,730985
20191205,000000,117.1000000,118.3500000,116.0500000,117.2500000,816817
20191206,000000,117.0000000,117.3000000,113.5500000,115.3500000,1278391
20191209,000000,110.5000000,115.4500000,109.4000000,113.8500000,1698507
20191210,000000,113.8000000,114.4000000,105.6500000,108.8500000,3354732
20191211,000000,108.1000000,108.4500000,102.2000000,103.5000000,3482798
20191216,000000,104.0000000,107.9500000,103.2500000,107.6000000,1543961
20191217,000000,107.9500000,108.0000000,104.4000000,104.8500000,1179044
20191218,000000,105.2000000,107.7500000,104.9500000,106.2500000,1274217
20191219,000000,105.9000000,106.0500000,103.0000000,104.7000000,1797725
20191220,000000,105.1000000,105.2500000,103.9500000,104.7000000,1212391
20191223,000000,105.5000000,106.1000000,105.1000000,105.5000000,840420
20191227,000000,105.7500000,106.6000000,105.6500000,106.3500000,894372
20191230,000000,107.0500000,108.0000000,106.5000000,107.5000000,685318
20200102,000000,109.3500000,115.7500000,108.9000000,113.1000000,2149848
20200103,000000,112.4000000,113.1000000,111.3000000,112.9500000,1193650
20200106,000000,112.0500000,112.8000000,109.1500000,112.1000000,1117358
20200107,000000,112.8000000,113.8500000,111.5000000,111.8500000,1123633
20200108,000000,111.0000000,112.2500000,110.0000000,111.7000000,1096196
20200109,000000,113.3500000,114.7500000,109.5500000,110.3000000,2460592
20200110,000000,111.4000000,112.4500000,110.1000000,111.2500000,1346180
20200113,000000,112.4500000,115.2500000,111.5500000,113.3500000,1697185
20200114,000000,113.5500000,119.7000000,113.3500000,118.5500000,1942810
20200115,000000,118.5500000,122.7000000,117.2500000,121.1000000,2035283
20200116,000000,123.0000000,131.5500000,122.5500000,127.9000000,3267878
20200117,000000,130.4000000,131.8000000,122.2500000,127.6000000,2520217
20200120,000000,128.8000000,130.5500000,127.7000000,129.4000000,1037251
20200121,000000,128.5000000,129.7500000,126.9000000,128.9500000,1182247
20200122,000000,129.2500000,129.6500000,127.3000000,129.0500000,1126642
20200123,000000,129.0000000,134.6500000,128.8000000,133.8500000,2191369
20200124,000000,136.7000000,143.0500000,135.5500000,140.1500000,3677227
20200127,000000,139.5000000,139.6500000,131.2500000,133.9000000,2399480
20200128,000000,134.8500000,137.7500000,134.5500000,137.0500000,1290240
20200129,000000,138.0000000,139.2000000,135.8500000,137.3500000,980036
20200130,000000,135.1000000,136.9000000,134.6500000,136.4000000,926857
20200131,000000,137.0500000,137.5500000,131.9500000,133.7500000,1020567
20200203,000000,132.5000000,134.3500000,126.9000000,132.1000000,2028362
20200204,000000,133.6000000,137.9500000,133.3000000,137.7500000,1301161
20200205,000000,137.9000000,141.0000000,136.8000000,137.9000000,1417153
20200206,000000,139.4000000,139.8500000,138.2500000,139.7500000,932317
20200207,000000,138.9000000,139.4500000,138.2000000,139.3000000,778523
20200210,000000,139.4500000,140.7000000,138.6500000,139.7500000,702028
20200211,000000,140.8500000,144.4000000,140.4500000,143.0000000,1563801
20200212,000000,144.3000000,144.7500000,142.3500000,143.9000000,1089902
20200213,000000,143.5000000,144.5500000,135.8000000,144.1500000,2059870
